city,state,republican candidate,democratic candidate,republican vote share,democratic vote share,sample,year,winner,democrat_pct,county,FIPS_1,FIPS_2,FIPS_3
Omaha,Nebraska,Jean Stothert,Heath Mello,51413,44977,wikipedia,2017,R,0.466614794,Douglas,31055,,
Allentown,Pennsylvania,Nat Hyman,Ed Pawlowski,4440,4758,wikipedia,2017,D,0.517286367,Lehigh,42077,,
Knoxville,Tennessee,Eddie Mannis,Indya Kincannon,12069,13291,wikipedia,2019,D,0.52409306,Knox,47093,,
Wichita,Kansas,Jeff Longwell,Brandon Whipple,17516,22256,wikipedia,2019,D,0.559589661,Sedgwick,20173,,
Aurora,Colorado,Mike Coffman,Omar Montgomery,26690,26475,wikipedia,2019,R,0.497977993,Arapahoe,8005,,
Anaheim,California,Harry Sidhu,Ashleigh Aitken,26422,25944,wikipedia,2018,R,0.49543597,Orange ,6059,,
Lincoln,Nebraska,Cyndi Lamm,Leirion Gaylor Baird,27994,33692,wikipedia,2019,D,0.54618552,Lancaster,31109,,
St. Petersburg,Florida,Rick Baker,Rick Kriseman,32341,34531,wikipedia,2017,D,0.516374566,Pinellas,12103,,
Dallas,Texas,Scott Griggs,Eric Johnson,32898,41208,wikipedia,2019,D,0.556068335,Dallas,48113,,
Chesapeake ,Virginia,Richard West,Jo Anne Gallant,13342,9630,wikipedia,2018,R,0.41920599,Chesapeake,51550,,
Green Bay,Wisconsin,Patrick Buckley,Eric Gengrich,8296,11421,wikipedia,2019,D,0.579246336,Brown,55009,,
Manchester,New Hampshire,Ted Gatsas,Joyce Craig,10570,12068,wikipedia,2017,D,0.533085962,Hillsborough,33011,,
Erie ,Pennsylvania,John Persinger,Joe Schember,8816,10073,pres,2017,D,0.533273334,Erie,42049,,
Port Arthur,Texas,Derrick Freeman,Thurman Bartie,1592,1883,pres,2019,D,0.541870504,Jefferson,48245,,
Normal ,Illinois,Marc Tiritilli,Chris Koos,3114,3125,pres,2017,D,0.500881552,McLean,17113,,
Elyria ,Ohio,Frank Whitfield,Holly Brinda,3837,3271,pres,2019,R,0.460185706,Lorain,39093,,
Lima ,Ohio,Keith Cheney,David Berger,3194,3599,targeted search,2017,D,0.529810099,Allen,39003,,
Independence,Ohio,Gregory Kurtz,Anthony Togliatti,1858,1759,ts ohio,2019,R,0.486314625,Cuyahoga,39035,,
Fairbanks,Alaska,Jim Matherly,Kathryn Dodge,1720,1516,ts alaska,2019,R,0.468479604,,2090,,
